,Filepath,Predictions
0,../input/fooddataset/Food/20170521_091328.jpg,deviled_eggs
1,../input/fooddataset/Food/IMG_5028.jpg,seaweed_salad
2,../input/fooddataset/Food/IMG_9594.jpg,cannoli
3,../input/fooddataset/Food/IMG_7895.jpg,ice_cream
4,../input/fooddataset/Food/marine iguana hunting for food underwater - Galapagos.jpg,chicken_curry
5,../input/fooddataset/Food/IMG_2609.jpg,panna_cotta
6,../input/fooddataset/Food/20171102_072621.jpg,sushi
7,../input/fooddataset/Food/IMG_8529.jpg,dumplings
8,../input/fooddataset/Food/IMG_6826.jpg,panna_cotta
9,../input/fooddataset/Food/IMG_4526.jpg,miso_soup
10,../input/fooddataset/Food/IMG_6762.jpg,sushi
11,../input/fooddataset/Food/Paris_20090628_047.jpg,beef_tartare
12,../input/fooddataset/Food/IMG_8542.jpg,ramen
13,../input/fooddataset/Food/IMG_2282.jpg,oysters
14,../input/fooddataset/Food/IMG_6541.jpg,sushi
15,../input/fooddataset/Food/Paris_20090630_02.jpg,deviled_eggs
16,../input/fooddataset/Food/IMG_7833.jpg,grilled_cheese_sandwich
17,../input/fooddataset/Food/IMG_1448.jpg,oysters
18,../input/fooddataset/Food/IMG_1798.jpg,chicken_curry
19,../input/fooddataset/Food/IMG_6828.jpg,steak
20,../input/fooddataset/Food/IMG_7290.jpg,sushi
21,../input/fooddataset/Food/IMG_6449.jpg,falafel
22,../input/fooddataset/Food/IMG_6334.jpg,ramen
23,../input/fooddataset/Food/IMG_1996.jpg,ice_cream
24,../input/fooddataset/Food/IMG_7284.jpg,sushi
25,../input/fooddataset/Food/IMG_3590.jpg,scallops
26,../input/fooddataset/Food/IMG_6908.jpg,sushi
27,../input/fooddataset/Food/20170821_011906.jpg,macarons
28,../input/fooddataset/Food/IMG_3318.jpg,mussels
29,../input/fooddataset/Food/IMG_6725.jpg,oysters
30,../input/fooddataset/Food/20170610_150445.jpg,falafel
31,../input/fooddataset/Food/IMG_7835.jpg,cannoli
32,../input/fooddataset/Food/IMG_9769.jpg,pork_chop
33,../input/fooddataset/Food/China_2008_27.jpg,gyoza
34,../input/fooddataset/Food/IMG_5402.jpg,crab_cakes
35,../input/fooddataset/Food/EFFECTS(7).jpg,sushi
36,../input/fooddataset/Food/IMG_4115.jpg,spaghetti_carbonara
37,../input/fooddataset/Food/IMG_6542.jpg,sushi
38,../input/fooddataset/Food/20171226_190726.jpg,sushi
39,../input/fooddataset/Food/IMG_1431.jpg,ice_cream
40,../input/fooddataset/Food/20170607_122212.jpg,ice_cream
41,../input/fooddataset/Food/IMG_3614.jpg,fried_calamari
42,../input/fooddataset/Food/IMG_9764.jpg,cannoli
43,../input/fooddataset/Food/IMG_1443.jpg,mussels
44,../input/fooddataset/Food/20171102_072626.jpg,sushi
45,../input/fooddataset/Food/IMG_2338.jpg,lobster_bisque
46,../input/fooddataset/Food/IMG_5400.jpg,beet_salad
47,../input/fooddataset/Food/IMG_2134.jpg,ravioli
48,../input/fooddataset/Food/IMG_7392.jpg,carrot_cake
49,../input/fooddataset/Food/IMG_5050.jpg,hummus
50,../input/fooddataset/Food/IMG_6139.jpg,cannoli
51,../input/fooddataset/Food/IMG_2589.jpg,caprese_salad
52,../input/fooddataset/Food/IMG_2539.jpg,paella
53,../input/fooddataset/Food/IMG_9762.jpg,caprese_salad
54,../input/fooddataset/Food/IMG_6535.jpg,french_onion_soup
55,../input/fooddataset/Food/20170609_150212.jpg,tacos
56,../input/fooddataset/Food/IMG_7975.jpg,oysters
57,../input/fooddataset/Food/IMG_5487.jpg,miso_soup
58,../input/fooddataset/Food/China_2008_211.jpg,bibimbap
59,../input/fooddataset/Food/IMG_2986.jpg,ice_cream
60,../input/fooddataset/Food/IMG_7292.jpg,cheesecake
61,../input/fooddataset/Food/IMG_3457.jpg,takoyaki
62,../input/fooddataset/Food/IMG_9689.jpg,sushi
63,../input/fooddataset/Food/IMG_6548.jpg,paella
64,../input/fooddataset/Food/IMG_5659.jpg,oysters
65,../input/fooddataset/Food/IMG_1317.jpg,sushi
66,../input/fooddataset/Food/IMG_8563.jpg,ceviche
67,../input/fooddataset/Food/IMG_1206.jpg,seaweed_salad
68,../input/fooddataset/Food/IMG_7646.jpg,pho
69,../input/fooddataset/Food/20170827_133313.jpg,gnocchi
70,../input/fooddataset/Food/IMG_2527.jpg,sushi
71,../input/fooddataset/Food/IMG_0976.jpg,falafel
72,../input/fooddataset/Food/IMG_6899.jpg,ramen
73,../input/fooddataset/Food/China_2008_22.jpg,filet_mignon
